customer_id,customer_name,segment,country,signup_date,email
10001,Customer 10001,B2C,Switzerland,2025-05-16,customer10001@example.com
10002,Customer 10002,VIP,Switzerland,2024-05-24,customer10002@example.com
10003,Customer 10003,B2B,Italy,2024-07-19,customer10003@example.com
10004,Customer 10004,B2C,Switzerland,2025-12-24,customer10004@example.com
10005,Customer 10005,B2C,Switzerland,2025-04-05,customer10005@example.com
10006,Customer 10006,B2C,Switzerland,2026-01-01,customer10006@example.com
10007,Customer 10007,B2C,Austria,2026-01-21,customer10007@example.com
10008,Customer 10008,B2B,Germany,2025-07-11,customer10008@example.com
10009,Customer 10009,B2C,Switzerland,2025-06-30,customer10009@example.com
10010,Customer 10010,B2B,Switzerland,2024-09-09,customer10010@example.com
10011,Customer 10011,B2C,Switzerland,2025-01-24,customer10011@example.com
10012,Customer 10012,VIP,Austria,2025-08-16,customer10012@example.com
10013,Customer 10013,B2B,Switzerland,2024-09-12,
10014,Customer 10014,B2C,Switzerland,2025-12-09,customer10014@example.com
10015,Customer 10015,B2C,Italy,2025-03-25,customer10015@example.com
10016,Customer 10016,B2C,France,2024-01-10,customer10016@example.com
10017,Customer 10017,B2C,Germany,2024-08-29,customer10017@example.com
10018,Customer 10018,B2C,Germany,2024-09-07,customer10018@example.com
10019,Customer 10019,B2C,Switzerland,2024-01-05,customer10019@example.com
10020,Customer 10020,B2C,Switzerland,2024-04-28,customer10020@example.com
10021,Customer 10021,B2C,France,2025-01-08,customer10021@example.com
10022,Customer 10022,B2C,France,2024-03-05,customer10022@example.com
10023,Customer 10023,B2C,Italy,2024-05-25,customer10023@example.com
10024,Customer 10024,b2c,Italy,2024-08-11,customer10024@example.com
10025,Customer 10025,B2C,Switzerland,2024-08-26,customer10025@example.com
10026,Customer 10026,B2B,Switzerland,2024-06-25,customer10026@example.com
10027,Customer 10027,B2C,France,2024-10-08,customer10027@example.com
10028,Customer 10028,B2C,Germany,2024-03-03,customer10028@example.com
10029,Customer 10029,B2C,Germany,2024-08-04,customer10029@example.com
10030,Customer 10030,B2C,France,2025-11-19,customer10030@example.com
10031,Customer 10031,B2C,Italy,2025-04-05,customer10031@example.com
10032,Customer 10032,B2C,Switzerland,2025-09-01,customer10032@example.com
10033,Customer 10033,B2C,Switzerland,2024-04-14,customer10033@example.com
10034,Customer 10034,VIP,Switzerland,2024-04-08,customer10034@example.com
10035,Customer 10035,VIP,Switzerland,2025-05-25,customer10035@example.com
10036,Customer 10036,B2B,Switzerland,2025-01-19,customer10036@example.com
10037,Customer 10037,B2C,Switzerland,2025-02-08,customer10037@example.com
10038,Customer 10038,B2C,Switzerland,2025-06-01,customer10038@example.com
10039,Customer 10039,B2B,Switzerland,2025-04-20,customer10039@example.com
10040,Customer 10040,B2C,Switzerland,2025-12-09,customer10040@example.com
10041,Customer 10041,B2C,Switzerland,2025-10-06,customer10041@example.com
10042,Customer 10042,B2C,Switzerland,2025-03-12,customer10042@example.com
10043,Customer 10043,B2C,France,2024-01-23,customer10043@example.com
10044,Customer 10044,VIP,Switzerland,2025-07-18,customer10044@example.com
10045,Customer 10045,B2C,Switzerland,2025-11-07,customer10045@example.com
10046,Customer 10046,B2C,Switzerland,2025-12-14,customer10046@example.com
10047,Customer 10047,B2C,France,2025-04-02,customer10047@example.com
10048,Customer 10048,B2C,Switzerland,2024-03-23,customer10048@example.com
10049,Customer 10049,B2C,Germany,2024-05-24,customer10049@example.com
10050,Customer 10050,b2c,Switzerland,2024-03-25,customer10050@example.com
10051,Customer 10051,VIP,Switzerland,2024-03-18,customer10051@example.com
10052,Customer 10052,B2B,Switzerland,2025-04-01,customer10052@example.com
10053,Customer 10053,VIP,Switzerland,2024-01-01,customer10053@example.com
10054,Customer 10054,B2B,Germany,2024-02-20,customer10054@example.com
10055,Customer 10055,B2C,Germany,2025-11-15,customer10055@example.com
10056,Customer 10056,VIP,Austria,2025-12-17,customer10056@example.com
10057,Customer 10057,B2C,Switzerland,2025-03-21,customer10057@example.com
10058,Customer 10058,B2C,Switzerland,2025-03-24,customer10058@example.com
10059,Customer 10059,b2c,France,2025-05-02,customer10059@example.com
10060,Customer 10060,B2C,Switzerland,2024-02-03,customer10060@example.com
10061,Customer 10061,B2C,Switzerland,2024-12-13,customer10061@example.com
10062,Customer 10062,B2C,Switzerland,2024-04-04,customer10062@example.com
10063,Customer 10063,B2B,Switzerland,2024-03-12,customer10063@example.com
10064,Customer 10064,B2C,Austria,2025-07-04,customer10064@example.com
10065,Customer 10065,B2C,France,2024-06-02,customer10065@example.com
